hostname,sy_snum,sy_pnum,pl_bmasse,pl_bmassj,st_mass
HD 173416,1,1,858.10000,2.70000,2.00
HD 175167,1,1,2850.93510,8.97000,1.37
HD 175541,1,1,190.06234,0.59800,1.39
HD 175607,1,1,8.98000,0.02825,0.71
HD 17674,1,1,276.51210,0.87000,0.98
HD 176986,1,2,5.74000,0.01806,0.79
HD 176986,1,2,9.18000,0.02888,0.79
HD 177565,1,1,15.10000,0.04751,1.00
HD 179079,1,1,25.74423,0.08100,1.14
HD 179949,1,1,291.12000,0.91600,1.21
HD 180053,1,1,697.31902,2.19400,1.75
HD 18015,1,1,1010.69940,3.18000,1.49
HD 180314,1,1,6397.91790,20.13000,2.20
HD 181234,1,1,2660.23710,8.37000,1.01
HD 181342,1,1,807.28820,2.54000,1.69
HD 181433,1,3,6.35660,0.02000,0.63
HD 181433,1,3,203.00000,0.64000,0.78
HD 181433,1,3,171.00000,0.54000,0.78
HD 181720,1,1,127.13200,0.40000,1.03
HD 183263,1,2,1255.42850,3.95000,1.31
HD 183263,1,2,1134.61000,3.57000,1.06
HD 183579,1,1,19.70000,0.06198,1.03
HD 187085,1,1,265.70588,0.83600,1.19
HD 187123,1,2,166.21800,0.52300,1.04
HD 187123,1,2,632.46000,1.99000,1.04
HD 18742,1,1,1080.62200,3.40000,1.36
HD 190007,1,1,16.46000,0.05179,0.77
HD 190647,1,1,630.89255,1.98500,1.07
HD 190984,1,1,985.20000,3.10000,0.91
HD 191806,1,1,2707.91160,8.52000,1.14
HD 191939,1,3,11.60000,0.03640,0.92
HD 191939,1,3,10.50000,0.03310,0.92
HD 191939,1,3,10.10000,0.03190,0.92
HD 192263,1,1,177.98480,0.56000,0.66
HD 192310,1,2,16.90000,0.05320,0.80
HD 192310,1,2,24.00000,0.07600,0.80
HD 192699,1,1,666.17168,2.09600,1.38
HD 20003,1,2,11.66000,0.03670,0.88
HD 20003,1,2,14.44000,0.04540,0.88
HD 200964,1,2,508.21017,1.59900,1.39
HD 200964,1,2,385.84562,1.21400,1.39
HD 202696,1,2,634.38868,1.99600,1.91
HD 202696,1,2,592.43512,1.86400,1.91
HD 203030,1,1,7656.09700,24.09000,0.94
HD 203473,1,1,2479.07400,7.80000,1.12
HD 2039,1,1,1999.15070,6.29000,1.23
HD 204313,1,2,1099.69180,3.46000,1.03
HD 204313,1,2,17.60000,0.05530,1.02
HD 205739,1,1,435.41000,1.37000,1.22
HD 206255,1,1,34.20000,0.10760,1.42
HD 206610,1,1,647.10188,2.03600,1.55
HD 20794,1,4,2.70000,0.00850,0.70
HD 20794,1,4,2.40000,0.00760,0.70
HD 20794,1,4,4.80000,0.01500,0.70
